query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_name )(char_name )(company_type )(complete_cast )(name )(person_info )(title ),"[1, 2, 1, 20, 1, 7, 1, 12, 6, 1, 5, 6, 3, 2, 1, 19, 13, 8, 8, 13]",25427.3297,478.8945,1107.372,8.1465,24319.9578,22.961869,5,"25280.59,26001.96,25851.87,24896.05,25106.18","1105.33,1105.64,1097.30,1108.77,1119.82","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name )(movie_link )(person_info )(title ),"[1, 2, 1, 20, 1, 12, 1, 7, 6, 1, 5, 6, 1, 5, 1, 19, 1, 3, 1, 15, 1, 9, 8, 13, 3, 8]",89782.8595,2129.8947,3927.1275,95.7035,85855.732,22.862222,5,"88525.65,90701.02,93007.48,89101.90,87578.25","3865.24,3942.09,3871.84,4088.47,3868.00","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_type )(complete_cast )(link_type )(name )(person_info )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 13, 1, 2, 1, 3, 1, 4]",70736.3047,8414.7321,3117.3992,17.8464,67618.9055,22.690808,5,"66081.99,85351.00,64270.35,69169.12,68809.07","3133.20,3100.48,3136.71,3118.30,3098.31","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(complete_cast )(keyword )(link_type )(role_type )(title ),"[1, 1, 1, 20, 1, 12, 1, 10, 1, 20, 1, 18, 1, 6, 1, 5, 1, 6, 1, 15, 1, 4, 1, 13, 1, 11, 1, 6]",15527.798,899.303,685.8494,6.9217,14841.9487,22.640245,5,"15394.68,15116.69,15018.12,17111.43,14998.07","689.64,685.97,688.65,691.06,673.92","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(complete_cast )(info_type )(kind_type )(link_type )(title ),"[1, 2, 1, 7, 1, 20, 1, 12, 1, 6, 1, 5, 1, 6, 1, 2, 1, 19, 1, 15, 1, 9, 8, 13, 3, 8]",59434.8174,10216.0475,2637.8791,1.9934,56796.9383,22.53129,5,"54257.44,54810.56,56128.27,54317.67,77660.16","2639.53,2638.89,2635.74,2635.69,2639.55","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_type (kind random))(complete_cast )(keyword )(name )(person_info )(title ),"[1, 2, 1, 7, 1, 20, 1, 12, 1, 6, 5, 5, 1, 6, 1, 2, 1, 3, 1, 15, 1, 9, 8, 13, 3, 8]",127536.7094,18778.6917,5903.0333,166.8556,121633.6761,21.605284,5,"110171.53,116557.51,126461.43,125594.95,158898.12","5708.03,6022.08,6037.07,6014.55,5733.43","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name (imdb_index random))(company_type )(keyword )(kind_type )(link_type )(role_type )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 12, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 13, 1, 3, 1, 13]",10044.2076,229.5806,467.5899,34.8257,9576.6177,21.480807,5,"10046.62,9748.08,9946.09,10375.67,10104.57","509.13,502.07,444.24,439.87,442.63","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(cast_info )(complete_cast )(keyword )(movie_link )(name )(person_info )(title ),"[1, 2, 1, 20, 1, 7, 12, 1, 6, 12, 5, 6, 2, 5, 3, 2, 1, 3, 15, 19, 13, 15, 8, 13, 3, 8]",175823.759,13087.1627,8245.0459,133.767,167578.713,21.324776,5,"164975.99,166551.42,169123.44,195434.09,183033.85","8255.22,8431.23,8053.25,8244.94,8240.59","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(complete_cast )(keyword )(movie_link )(name )(person_info )(title ),"[1, 2, 1, 20, 1, 7, 12, 1, 6, 12, 5, 6, 1, 5, 2, 1, 3, 2, 15, 3, 9, 15, 13, 9, 8, 13, 3, 8]",170254.0463,17324.7964,8308.5102,152.4642,161945.5361,20.491525,5,"151870.46,161515.46,178312.65,163359.87,196211.79","8155.01,8190.31,8294.92,8365.81,8536.50","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_type )(complete_cast )(link_type )(name )(person_info )(role_type )(title ),"[1, 2, 1, 17, 1, 12, 1, 6, 1, 5, 1, 6, 1, 5, 1, 2, 1, 3, 1, 15, 1, 9, 1, 8, 3, 8]",67074.8852,2055.9568,3294.3743,76.5307,63780.5109,20.360432,5,"64620.18,68324.95,65146.80,68051.71,69230.78","3229.40,3418.75,3276.77,3309.21,3237.75","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
